25 25
200
13 11
21 0
23 23
19 0
16 21
13 24
18 0
0 8
12 7
0 24
5 7
2 6
7 8
7 24
16 21
9 7
20 16
1 13
23 16
5 23
4 18
18 16
24 24
4 18
15 21
17 1
4 14
1 20
17 18
22 18
2 2
5 7
13 3
3 6
16 13
13 3
19 18
0 10
17 5
19 14
21 7
12 5
24 3
22 2
22 21
20 12
6 8
16 8
21 3
17 4
13 0
1 24
23 21
17 23
1 22
12 6
11 17
22 11
12 2
21 23
2 21
16 21
24 20
19 9
17 23
21 10
7 11
17 24
23 8
17 24
12 13
11 19
21 23
13 13
11 14
13 0
19 9
11 23
0 1
8 16
8 5
3 14
22 8
8 19
11 17
9 7
3 13
6 6
7 16
15 16
1 7
6 15
12 9
20 14
1 24
2 18
20 16
16 5
19 24
11 22
10 22
12 8
23 18
1 3
2 17
4 21
6 11
24 10
12 19
13 14
5 8
13 22
11 6
13 6
10 16
9 8
2 5
7 22
2 10
7 12
23 6
15 16
22 16
7 5
24 18
11 15
16 6
8 5
8 24
11 9
10 10
15 24
7 24
21 15
6 0
4 0
2 19
8 5
3 22
18 5
17 11
6 9
18 1
20 3
2 9
23 14
20 4
22 21
15 24
8 9
20 21
0 2
12 7
6 7
1 9
0 6
3 13
10 15
24 1
10 8
9 8
16 5
0 23
14 22
20 14
13 5
15 12
8 24
21 0
13 19
19 11
17 0
18 19
8 11
23 18
1 3
22 11
10 20
6 16
12 19
4 20
6 0
18 19
1 19
7 9
24 18
20 11
22 19
12 16
10 5
14 5
10 22
22 8
8 12
23 17
3 5
13 3
8 21
14 14
3 5
13 1
11 20
0 21
15 10
22 16
12 18
1 16
10 19
13 0
24 4
5 2
20 6
15 14
24 10
24 22
22 19
17 4
12 18
1 8
14 23
18 5
3 18
0 23
12 10
3 10
2 19
12 9
9 21
15 14
10 10
19 22
15 2
18 2
8 15
5 4
16 20
2 18
9 16
9 23
1 15
12 16
11 19
21 14
11 1
16 22
2 18
14 22
7 17
2 1
22 14
