50 50
200
0 0
1 1
2 2
3 4
5 7
5 6
3 4
4 7
4 6
0 7
0 6
1 7
1 6
4 0
4 1
5 1
5 0
28 49
1 28
0 16
42 20
29 22
12 16
44 9
14 19
15 44
21 24
1 48
0 27
30 22
26 35
37 2
9 1
21 19
0 10
22 10
18 44
48 18
5 48
4 16
14 1
26 42
42 28
29 30
15 38
24 4
25 39
27 4
28 39
34 9
19 0
32 45
31 26
15 33
28 47
9 26
25 4
4 25
1 25
1 12
4 49
11 16
24 9
41 43
18 20
4 25
38 13
21 49
21 44
3 17
48 45
0 45
43 5
12 29
35 38
1 45
5 16
23 45
15 34
6 13
41 12
37 3
14 11
48 22
15 33
48 48
47 37
35 16
20 34
3 4
23 13
33 16
21 46
37 43
49 19
33 12
22 4
4 16
40 11
27 28
13 0
35 37
27 35
8 44
25 15
6 34
21 48
11 5
23 1
21 48
36 27
1 41
33 31
36 6
33 27
13 26
43 1
15 38
26 11
8 2
19 37
41 0
45 12
21 5
42 23
13 38
36 24
40 29
49 9
26 10
35 41
0 24
46 47
47 42
33 45
13 16
40 19
47 35
35 36
10 13
30 42
15 48
36 30
21 16
3 29
25 43
12 26
48 9
41 12
26 34
3 5
7 0
41 14
12 45
46 34
40 21
37 5
8 36
12 21
25 25
4 36
48 17
10 16
0 24
48 6
4 37
13 49
38 1
11 18
36 4
3 15
1 39
47 42
7 17
46 26
32 47
41 47
27 31
37 41
42 24
36 42
12 8
47 6
40 35
19 33
25 17
42 16
47 17
25 48
0 30
8 48
7 30
11 49
38 14
21 24
4 1
1 4
40 4
4 21
49 33
36 24
31 9
18 31
40 36
20 34
6 26
23 2
48 25
11 48
1 6
21 42
26 20
37 8
13 31
48 40
3 25
22 37
41 37
28 14
8 22
10 48
8 7
31 17
2 45
12 16
2 28
33 33
5 34
17 7
16 23
17 37
16 13
0 48
5 8
45 7
41 2
45 45
42 9
15 45
35 17
14 2
12 40
11 48
19 29
30 21
40 35
1 14
34 33
24 3
16 33
6 31
18 26
42 37
45 39
2 1
30 28
19 33
25 38
11 30
47 11
6 49
45 15
24 11
1 20
32 17
25 35
10 39
22 30
22 37
21 7
41 27
15 33
38 30
49 46
16 20
1 29
44 28
43 26
42 8
26 43
36 36
37 49
28 12
15 21
6 19
16 23
11 44
1 33
4 9
49 49
20 10
30 28
14 5
26 36
25 42
12 48
24 42
3 11
29 20
16 19
29 31
17 38
12 17
1 3
41 2
35 16
33 18
19 42
36 11
10 6
15 5
24 45
37 10
1 24
40 44
1 5
28 17
48 46
9 7
21 36
37 27
1 41
5 15
38 40
47 8
28 4
48 9
29 4
9 26
41 5
12 24
5 15
43 44
2 37
38 12
43 21
30 21
26 16
2 40
23 13
41 19
6 7
24 14
0 30
19 3
41 30
18 39
31 10
45 27
20 7
31 11
39 5
18 10
21 49
13 48
5 30
14 21
27 46
22 24
15 17
10 16
21 16
21 43
14 28
2 46
38 49
22 43
18 23
26 14
47 11
11 47
41 45
43 14
4 25
15 30
43 12
0 10
28 11
29 21
10 25
3 29
24 11
3 17
40 34
16 17
12 28
24 27
45 4
16 0
30 20
25 38
6 12
8 40
40 18
42 40
41 1
0 7
40 6
35 35
29 24
18 42
13 10
6 3
48 1
26 3
25 48
7 37
17 26
18 46
21 9
7 27
31 19
7 10
12 24
20 48
30 37
5 14
42 49
1 0
21 14
17 48
29 0
16 7
30 23
24 0
26 7
39 48
4 19
16 38
7 10
8 6
26 24
7 11
27 34
18 36
36 0
41 7
36 7
12 31
8 18
34 21
5 47
16 16
28 9
41 29
26 15
45 43
0 33
15 46
14 14
12 45
15 47
36 16
49 35
42 6
14 28
23 7
45 0
17 6
42 45
16 5
12 13
17 9
8 29
0 1
8 20
2 39
48 48
15 16
26 40
14 19
6 34
44 29
24 39
10 11
42 37
17 17
2 45
26 46
36 32
42 28
10 28
18 19
21 15
17 38
11 38
41 1
2 37
6 47
38 3
47 21
5 8
0 24
49 40
40 31
22 26
48 1
2 18
45 47
14 22
42 19
25 4
44 48
38 40
43 39
16 12
33 41
23 24
8 15
47 37
11 16
45 4
27 35
47 43
42 6
30 35
12 25
41 46
31 11
40 27
12 16
47 6
11 17
17 43
37 49
46 8
15 36
33 39
18 43
30 11
0 38
12 28
47 49
12 46
26 49
47 11
37 12
15 43
38 33
17 20
4 18
25 36
16 0
36 40
32 19
10 1
15 8
44 1
35 18
25 30
43 7
17 33
45 22
40 42
41 2
12 23
49 26
5 8
1 44
13 49
31 4
49 35
15 11
9 38
14 11
23 25
6 36
23 43
12 15
2 20
35 26
44 23
23 5
24 48
43 13
44 30
12 49
25 15
32 25
35 11
21 45
35 14
48 46
16 46
31 37
31 8
38 39
17 34
40 45
40 41
38 20
0 23
8 30
38 43
6 9
40 2
36 20
35 17
41 33
38 5
38 9
24 11
49 25
2 9
12 29
35 4
32 43
17 7
29 21
21 25
18 44
49 4
22 38
46 17
29 4
41 46
48 44
23 5
13 39
7 9
29 22
4 25
3 29
41 9
23 18
27 41
5 18
2 28
27 8
36 20
8 39
15 11
6 26
34 18
36 49
26 42
20 0
14 27
14 34
24 44
40 38
37 9
1 25
8 34
8 10
25 48
26 24
10 29
9 9
20 4
46 27
28 0
3 3
12 9
10 39
3 11
0 46
40 43
30 32
39 48
7 28
35 15
39 40
40 8
6 14
19 47
48 22
1 29
37 29
47 44
22 43
6 9
2 3
10 3
33 21
47 12
25 40
34 41
31 24
11 34
33 15
10 6
33 32
7 34
3 41
31 6
45 49
40 31
22 23
27 2
39 0
0 47
16 19
14 17
19 11
